model,round,describe,hash,unweighted,weighted,ci_low,ci_high,worst_fold,false_play,published_recall
convnextv2,2,top_crop=0.2 sharpen=0.6,046f5be09a11,0.9952,0.9965,0.9857,1.0,0.9667,0.1111,0.9952
convnextv2,2,top_crop=0.35 sharpen=0.6,cbbf23b0d5bf,0.9176,0.8652,0.8128,0.9921,0.6333,0.9918,0.9176
convnextv2,2,letterbox=False sharpen=0.6,c28e25321036,0.858,0.8972,0.7381,0.9651,0.5833,0.0165,0.858
convnextv2,2,per_image_standardise=True sharpen=0.6,69138fed8ca7,0.9769,0.9362,0.9483,1.0,0.9048,0.7901,0.9769
convnextv2,2,clahe=on sharpen=0.6,98af39f6aecc,0.8886,0.9397,0.7219,0.9957,0.4167,0.8889,0.8886
convnextv2,2,clahe=auto sharpen=0.6,e2d8d595f091,0.9308,0.9255,0.8356,0.9921,0.6667,0.3909,0.9308
convnextv2,2,gamma=0.7 sharpen=0.6,b124356c02f1,1.0,1.0,1.0,1.0,1.0,0.6626,1.0
convnextv2,2,gamma=1.4 sharpen=0.6,c148ef7062cb,0.984,0.9823,0.9554,1.0,0.9,0.9383,0.984
convnextv2,2,saturation=0.0 sharpen=0.6,4023d35f5433,0.9563,0.9858,0.8849,1.0,0.75,0.0,0.9563
convnextv2,2,saturation=0.5 sharpen=0.6,83f14ef5dc9a,1.0,1.0,1.0,1.0,1.0,0.0206,1.0
convnextv2,2,denoise=25.0 sharpen=0.6,b1891cc798c1,0.9974,0.9894,0.9923,1.0,0.9821,1.0,0.9974
convnextv2,3,undistort=0.15 gamma=0.7 sharpen=0.6,34f0d306a0f1,0.9735,0.9681,0.945,0.9957,0.9,0.0864,0.9735
convnextv2,3,undistort=0.3 gamma=0.7 sharpen=0.6,4aab642d1074,0.9683,0.9858,0.9048,1.0,0.7778,0.0,0.9683
convnextv2,3,centre_crop=0.5 gamma=0.7 sharpen=0.6,23d2d1e1bcc6,0.7902,0.8936,0.5045,0.9966,0.0,0.9835,0.7902
convnextv2,3,centre_crop=0.7 gamma=0.7 sharpen=0.6,aeeed06fa68c,0.9635,0.9752,0.9063,1.0,0.8,0.0288,0.9635
convnextv2,3,top_crop=0.2 gamma=0.7 sharpen=0.6,354ac84db299,0.9833,0.9929,0.9595,1.0,0.9167,0.0206,0.9833
convnextv2,3,top_crop=0.35 gamma=0.7 sharpen=0.6,bef4d47223d9,0.9668,0.9433,0.9192,1.0,0.8333,0.9918,0.9668
convnextv2,3,letterbox=False gamma=0.7 sharpen=0.6,4acec2447483,0.8095,0.9326,0.5476,1.0,0.1667,0.0165,0.8095
convnextv2,3,per_image_standardise=True gamma=0.7 sharpen=0.6,039a0f46c60a,0.9828,0.961,0.9619,1.0,0.9333,0.5597,0.9828
convnextv2,3,clahe=on gamma=0.7 sharpen=0.6,b02ee79e7d15,0.9635,0.9752,0.9063,1.0,0.8,1.0,0.9635
convnextv2,3,clahe=auto gamma=0.7 sharpen=0.6,fa3f26d9d118,0.9923,0.9681,0.977,1.0,0.9464,0.9794,0.9923
convnextv2,3,gamma=0.7 saturation=0.0 sharpen=0.6,6840aed3988f,0.8698,0.9433,0.7302,0.981,0.5556,0.0,0.8698
convnextv2,3,gamma=0.7 saturation=0.5 sharpen=0.6,dc72f6b9eb1a,0.9983,0.9929,0.9949,1.0,0.9881,0.0206,0.9983
convnextv2,3,gamma=0.7 denoise=25.0 sharpen=0.6,b288bf1fee1c,1.0,1.0,1.0,1.0,1.0,0.9794,1.0
dinov2,0,baseline,5565eefa9a9f,0.9595,0.9752,0.9024,1.0,0.8,0.2305,0.9595
dinov2,1,undistort=0.15,4c7bf06ae73e,0.9531,0.9716,0.8896,0.9991,0.7778,0.9959,0.9531
dinov2,1,undistort=0.3,ae0c74e2f591,0.9921,0.9965,0.9762,1.0,0.9444,0.0412,0.9921
dinov2,1,centre_crop=0.5,a5abd62d48c3,0.9983,0.9929,0.9949,1.0,0.9881,0.3128,0.9983
dinov2,1,centre_crop=0.7,f4ef48bad0c2,0.9649,0.883,0.9104,1.0,0.8095,0.0206,0.9649
dinov2,1,top_crop=0.2,63784e9b2ae8,0.9706,0.9752,0.9134,1.0,0.8,1.0,0.9706
dinov2,1,top_crop=0.35,278574b0b22f,0.9921,0.9965,0.9762,1.0,0.9444,1.0,0.9921
dinov2,1,letterbox=False,aa4c20b8299c,0.9603,0.9823,0.881,1.0,0.7222,1.0,0.9603
dinov2,1,per_image_standardise=True,72c25fb71782,0.9507,0.9787,0.8554,1.0,0.6667,0.3951,0.9507
dinov2,1,clahe=on,cd241798ac2d,0.9752,0.9291,0.9446,1.0,0.8929,0.1605,0.9752
dinov2,1,clahe=auto,c24f1ca3fd02,0.9932,0.9716,0.9796,1.0,0.9524,0.8807,0.9932
dinov2,1,gamma=0.7,de4bb7955876,0.9286,0.9787,0.7857,1.0,0.5,0.9753,0.9286
dinov2,1,gamma=1.4,b6d1f25499e0,0.9301,0.9716,0.8111,0.9991,0.5833,0.963,0.9301
dinov2,1,saturation=0.0,77d75335572e,0.9825,0.9894,0.9587,0.9991,0.9167,0.0206,0.9825
dinov2,1,saturation=0.5,410fda2c48ba,0.9905,0.9929,0.9714,1.0,0.9333,0.1193,0.9905
dinov2,1,denoise=25.0,e429c9237451,0.9905,0.9929,0.9714,1.0,0.9333,0.2716,0.9905
dinov2,1,sharpen=0.6,af664a4e32b7,0.9825,0.9894,0.9587,0.9991,0.9167,0.1687,0.9825
dinov2,2,undistort=0.15 saturation=0.0,63c6ba83117c,0.9603,0.9823,0.881,1.0,0.7222,0.0,0.9603
dinov2,2,undistort=0.3 saturation=0.0,0d0c175d1daa,0.9974,0.9894,0.9923,1.0,0.9821,0.0,0.9974
dinov2,2,centre_crop=0.5 saturation=0.0,904338f6298d,0.8988,0.9397,0.7976,0.994,0.6667,0.9877,0.8988
dinov2,2,centre_crop=0.7 saturation=0.0,1c8cb0e9990b,0.9243,0.961,0.7815,1.0,0.5,0.0165,0.9243
dinov2,2,top_crop=0.2 saturation=0.0,0ef4556cabc9,0.9952,0.9965,0.9857,1.0,0.9667,1.0,0.9952
dinov2,2,top_crop=0.35 saturation=0.0,64b520b67374,0.9337,0.9397,0.8643,0.994,0.7778,0.7037,0.9337
dinov2,2,letterbox=False saturation=0.0,2b2aef56806a,0.9524,0.9787,0.9048,1.0,0.8333,0.9671,0.9524
dinov2,2,per_image_standardise=True saturation=0.0,3ffade552023,0.9923,0.9681,0.977,1.0,0.9464,1.0,0.9923
dinov2,2,clahe=on saturation=0.0,cb312eb8249a,0.9706,0.9752,0.9134,1.0,0.8,1.0,0.9706
dinov2,2,clahe=auto saturation=0.0,2819fc8e475b,0.9238,0.9716,0.8047,0.9991,0.5833,0.9918,0.9238
dinov2,2,gamma=0.7 saturation=0.0,c53eb0ce5da9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dinov2,2,gamma=1.4 saturation=0.0,19eca1395eca,1.0,1.0,1.0,1.0,1.0,0.0823,1.0
dinov2,2,saturation=0.0 denoise=25.0,8541aabf3e65,1.0,1.0,1.0,1.0,1.0,0.0494,1.0
dinov2,2,saturation=0.0 sharpen=0.6,4023d35f5433,0.9468,0.9787,0.8754,0.9921,0.75,0.037,0.9468
