model,held_out_venue,play_recall,false_play_rate,false_play_rate_distinct_scenes,empty_accuracy,joint_recall_and_empty_accuracy,n_held_out_empty,n_distinct_scenes
fusion_uniform,MEAN_ACROSS_FOLDS,0.9507,0.9671,1.0000,0.0000,0.4753,243,3
fusion_constant,lo_venue_out__clipvenue_a_blue_barrier,0.9583,,,,,,
fusion_constant,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,,,,
fusion_constant,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,,,,
fusion_constant,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,,,,,
fusion_constant,lo_venue_out__clipvenue_g_netting,1.0000,,,,,,
fusion_constant,lo_venue_out__clipvenue_h_teal_pitch,0.6667,,,,,,
fusion_constant,lo_venue_out__clipvenue_i_outdoor_trees,0.8889,,,,,,
fusion_constant,MEAN_ACROSS_FOLDS,0.9306,0.1811,0.6667,0.0000,0.4653,243,3
fusion_gated_stats,lo_venue_out__clipvenue_a_blue_barrier,0.9583,,,,,,
fusion_gated_stats,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,,,,
fusion_gated_stats,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,,,,
fusion_gated_stats,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,,,,,
fusion_gated_stats,lo_venue_out__clipvenue_g_netting,1.0000,,,,,,
fusion_gated_stats,lo_venue_out__clipvenue_h_teal_pitch,0.6667,,,,,,
fusion_gated_stats,lo_venue_out__clipvenue_i_outdoor_trees,0.7222,,,,,,
fusion_gated_stats,MEAN_ACROSS_FOLDS,0.9067,0.0000,0.0000,0.0000,0.4534,243,3
fusion_gated_lighting,lo_venue_out__clipvenue_a_blue_barrier,0.9702,,,,,,
fusion_gated_lighting,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,,,,,
fusion_gated_lighting,lo_venue_out__clipvenue_e_pink_boards,1.0000,,,,,,
fusion_gated_lighting,lo_venue_out__clipvenue_f_outdoor_bldg,0.5000,,,,,,
fusion_gated_lighting,lo_venue_out__clipvenue_g_netting,1.0000,,,,,,
fusion_gated_lighting,lo_venue_out__clipvenue_h_teal_pitch,0.8333,,,,,,
fusion_gated_lighting,lo_venue_out__clipvenue_i_outdoor_trees,0.3333,,,,,,
fusion_gated_lighting,MEAN_ACROSS_FOLDS,0.8053,0.0206,0.3333,0.0000,0.4026,243,3
ORACLE_per_fold_best,MEAN_ACROSS_FOLDS,0.9603
