arm,venue,truth,truth_folder,predicted,n,exact
detector_first,venue_01,C1_EMPTY,1_empty,C1_EMPTY,467,True
detector_first,venue_01,C1_EMPTY,1_empty,C3_MAINTENANCE_NON_SPORTING,27,False
detector_first,venue_01,C2_ACTIVE_PLAY,2_playing,C1_EMPTY,68,False
detector_first,venue_01,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,206,True
detector_first,venue_01,C2_ACTIVE_PLAY,2_playing,C3_MAINTENANCE_NON_SPORTING,522,False
detector_first,venue_01,C3_MAINTENANCE_NON_SPORTING,3_people_not_playing,C1_EMPTY,3,False
detector_first,venue_01,C3_MAINTENANCE_NON_SPORTING,3_people_not_playing,C3_MAINTENANCE_NON_SPORTING,3,True
detector_first_no_ball,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,163,True
detector_first_no_ball,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,2_playing,C3_MAINTENANCE_NON_SPORTING,5,False
detector_first_no_ball,clipvenue_d_indoor_dome,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,18,True
detector_first_no_ball,clipvenue_e_pink_boards,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,18,True
detector_first_no_ball,clipvenue_f_outdoor_bldg,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,12,True
detector_first_no_ball,clipvenue_g_netting,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,30,True
detector_first_no_ball,clipvenue_h_teal_pitch,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,18,True
detector_first_no_ball,clipvenue_i_outdoor_trees,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,18,True
detector_first_no_ball,venue_01,C1_EMPTY,1_empty,C1_EMPTY,467,True
detector_first_no_ball,venue_01,C1_EMPTY,1_empty,C3_MAINTENANCE_NON_SPORTING,27,False
detector_first_no_ball,venue_01,C2_ACTIVE_PLAY,2_playing,C1_EMPTY,68,False
detector_first_no_ball,venue_01,C2_ACTIVE_PLAY,2_playing,C2_ACTIVE_PLAY,219,True
detector_first_no_ball,venue_01,C2_ACTIVE_PLAY,2_playing,C3_MAINTENANCE_NON_SPORTING,509,False
detector_first_no_ball,venue_01,C3_MAINTENANCE_NON_SPORTING,3_people_not_playing,C1_EMPTY,3,False
detector_first_no_ball,venue_01,C3_MAINTENANCE_NON_SPORTING,3_people_not_playing,C3_MAINTENANCE_NON_SPORTING,3,True
