model,coverage,accuracy_worst,accuracy_best,review_rate,n_tied,largest_tie_group
vit,0.6946,1.0,1.0,0.3054,0,1
vit,0.7111,1.0,1.0,0.2889,0,1
vit,0.7288,1.0,1.0,0.2712,0,1
vit,0.7453,1.0,1.0,0.2547,0,1
vit,0.763,1.0,1.0,0.237,0,1
vit,0.7795,1.0,1.0,0.2205,0,1
vit,0.796,1.0,1.0,0.204,0,1
vit,0.8137,1.0,1.0,0.1863,0,1
vit,0.8302,1.0,1.0,0.1698,0,1
vit,0.8467,1.0,1.0,0.1533,0,1
vit,0.8644,1.0,1.0,0.1356,0,1
vit,0.8809,1.0,1.0,0.1191,0,1
vit,0.8975,0.9988,0.9988,0.1025,0,1
vit,0.9151,0.9964,0.9964,0.0849,0,1
vit,0.9316,0.9964,0.9964,0.0684,0,1
vit,0.9482,0.9953,0.9953,0.0518,0,1
vit,0.9658,0.9943,0.9943,0.0342,0,1
vit,0.9824,0.9944,0.9944,0.0176,0,1
vit,1.0,0.9901,0.9901,0.0,0,1
