file,venue,class3,inside
2_playing/clip_ca_1788518332036_t003433.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,9
2_playing/clip_ca_1788518332036_t005566.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,8
2_playing/clip_ca_1788518332036_t007666.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,9
2_playing/clip_ca_1788518332036_t009800.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,11
2_playing/clip_ca_1788518332036_t011933.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,8
2_playing/clip_ca_1788518338406_t001333.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,8
2_playing/clip_ca_1788518338406_t003533.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,5
2_playing/clip_ca_1788518338406_t005700.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,6
2_playing/clip_ca_1788518338406_t007900.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,10
2_playing/clip_ca_1788518338406_t010066.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,8
2_playing/clip_ca_1788518338406_t012266.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,8
2_playing/clip_ca_1788518343632_t001233.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,11
2_playing/clip_ca_1788518343632_t003233.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,9
2_playing/clip_ca_1788518343632_t005233.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,9
2_playing/clip_ca_1788518343632_t007266.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,14
2_playing/clip_ca_1788518343632_t009266.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,12
2_playing/clip_ca_1788518343632_t011266.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,11
2_playing/clip_ca_1788518349117_t001233.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,1
