backbone,arm,held_out_venue,play_recall,false_play_rate,n_held_out_empty
dinov2,raw+geom,lo_venue_out__clipvenue_e_pink_boards,1.0000,,
dinov2,raw+geom,lo_venue_out__clipvenue_f_outdoor_bldg,1.0000,,
dinov2,raw+geom,lo_venue_out__clipvenue_g_netting,1.0000,,
dinov2,raw+geom,lo_venue_out__clipvenue_h_teal_pitch,0.6667,,
dinov2,raw+geom,lo_venue_out__clipvenue_i_outdoor_trees,0.8889,,
dinov2,raw+geom,MEAN_ACROSS_FOLDS,0.9297,0.3086,243
dinov2,preproc+geom,lo_venue_out__clipvenue_a_blue_barrier,1.0000,,
dinov2,preproc+geom,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,
dinov2,preproc+geom,lo_venue_out__clipvenue_e_pink_boards,1.0000,,
dinov2,preproc+geom,lo_venue_out__clipvenue_f_outdoor_bldg,0.9167,,
dinov2,preproc+geom,lo_venue_out__clipvenue_g_netting,0.8000,,
dinov2,preproc+geom,lo_venue_out__clipvenue_h_teal_pitch,1.0000,,
dinov2,preproc+geom,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,
dinov2,preproc+geom,MEAN_ACROSS_FOLDS,0.9595,0.2305,243
dinov2,preproc+nogeom,lo_venue_out__clipvenue_a_blue_barrier,1.0000,,
dinov2,preproc+nogeom,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,
dinov2,preproc+nogeom,lo_venue_out__clipvenue_e_pink_boards,1.0000,,
dinov2,preproc+nogeom,lo_venue_out__clipvenue_f_outdoor_bldg,0.4167,,
dinov2,preproc+nogeom,lo_venue_out__clipvenue_g_netting,1.0000,,
dinov2,preproc+nogeom,lo_venue_out__clipvenue_h_teal_pitch,0.6667,,
dinov2,preproc+nogeom,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,
dinov2,preproc+nogeom,MEAN_ACROSS_FOLDS,0.8690,0.1687,243
vit,raw+geom,lo_venue_out__clipvenue_a_blue_barrier,1.0000,,
vit,raw+geom,lo_venue_out__clipvenue_d_indoor_dome,1.0000,,
vit,raw+geom,lo_venue_out__clipvenue_e_pink_boards,1.0000,,
vit,raw+geom,lo_venue_out__clipvenue_f_outdoor_bldg,0.5833,,
vit,raw+geom,lo_venue_out__clipvenue_g_netting,1.0000,,
vit,raw+geom,lo_venue_out__clipvenue_h_teal_pitch,0.5000,,
vit,raw+geom,lo_venue_out__clipvenue_i_outdoor_trees,1.0000,,
vit,raw+geom,MEAN_ACROSS_FOLDS,0.8690,0.8354,243
vit,preproc+geom,lo_venue_out__clipvenue_a_blue_barrier,0.9940,,
vit,preproc+geom,lo_venue_out__clipvenue_d_indoor_dome,0.6111,,
vit,preproc+geom,lo_venue_out__clipvenue_e_pink_boards,1.0000,,
vit,preproc+geom,lo_venue_out__clipvenue_f_outdoor_bldg,0.8333,,
vit,preproc+geom,lo_venue_out__clipvenue_g_netting,1.0000,,
vit,preproc+geom,lo_venue_out__clipvenue_h_teal_pitch,1.0000,,
vit,preproc+geom,lo_venue_out__clipvenue_i_outdoor_trees,0.9444,,
vit,preproc+geom,MEAN_ACROSS_FOLDS,0.9118,0.9712,243
vit,preproc+nogeom,lo_venue_out__clipvenue_a_blue_barrier,0.9940,,
vit,preproc+nogeom,lo_venue_out__clipvenue_d_indoor_dome,0.6111,,
vit,preproc+nogeom,lo_venue_out__clipvenue_e_pink_boards,1.0000,,
vit,preproc+nogeom,lo_venue_out__clipvenue_f_outdoor_bldg,0.8333,,
vit,preproc+nogeom,lo_venue_out__clipvenue_g_netting,1.0000,,
vit,preproc+nogeom,lo_venue_out__clipvenue_h_teal_pitch,1.0000,,
vit,preproc+nogeom,lo_venue_out__clipvenue_i_outdoor_trees,0.9444,,
vit,preproc+nogeom,MEAN_ACROSS_FOLDS,0.9118,0.9712,243
